UV1,UV2,VIS,NIR
2267.5,1346.175,5719.05,11065.6
2121.5,1315.175,5673.05,10472.6
2112.5,1262.175,5566.05,10070.6
1974.5,1338.175,5671.05,9683.6
1961.5,1259.175,5714.05,9786.6
1918.5,1313.175,5758.05,9968.6
1789.5,1322.175,5641.05,10525.6
1857.5,1367.175,5686.05,11284.6
1698.5,1341.175,5658.05,11507.6
1719.5,1276.175,5670.05,10690.6
1734.5,1295.175,5558.05,10517.6
1647.5,1293.175,5777.05,10610.6
1655.5,1324.175,5622.05,9677.6
1550.5,1347.175,5852.05,8979.6
1570.5,1286.175,5688.05,8720.6
1528.5,1328.175,5768.05,8188.6
1508.5,1299.175,5771.05,7778.6
1530.5,1352.175,5726.05,7664.6
1474.5,1340.175,5865.05,7349.6
1400.5,1359.175,5967.05,7253.6
1395.5,1288.175,5961.05,7257.6
1369.5,1344.175,5798.05,7694.6
1336.5,1374.175,5948.05,7589.6
1394.5,1412.175,5813.05,7138.6
1353.5,1396.175,5704.05,6682.6
1380.5,1312.175,5845.05,6468.6
1225.5,1284.175,5890.05,6088.6
1251.5,1367.175,5785.05,5960.6
1306.5,1312.175,5831.05,5804.6
1325.5,1288.175,5777.05,5772.6
1269.5,1344.175,5801.05,5541.6
1171.5,1330.175,5830.05,5529.6
1222.5,1376.175,5897.05,5263.6
1264.5,1340.175,5930.05,5231.6
1141.5,1368.175,5925.05,5141.6
1237.5,1316.175,5895.05,5076.6
1232.5,1403.175,5936.05,5024.6
1162.5,1452.175,6023.05,4907.6
1223.5,1368.175,5970.05,4863.6
1173.5,1370.175,5971.05,4830.6
1135.5,1316.175,5952.05,4791.6
1137.5,1288.175,5701.05,4793.6
1160.5,1328.175,5822.05,4723.6
1214.5,1416.175,5842.05,4573.6
1069.5,1389.175,5746.05,4638.6
1176.5,1372.175,5821.05,4581.6
1117.5,1352.175,5763.05,4526.6
1185.5,1362.175,5744.05,4539.6
1234.5,1368.175,5550.05,4496.6
1147.5,1415.175,5728.05,4388.6
1203.5,1312.175,5735.05,4426.6
1193.5,1400.175,5750.05,4338.6
1191.5,1451.175,5793.05,4347.6
1244.5,1354.175,5804.05,4207.6
1306.5,1416.175,5709.05,4261.6
1404.5,1368.175,5726.05,4168.6
1511.5,1382.175,5722.05,4218.6
1674.5,1404.175,5839.05,4193.6
2149.5,1423.175,5811.05,4145.6
3018.5,1412.175,5815.05,4148.6
4443.5,1460.175,5680.05,4093.6
4404.5,1405.175,5802.05,4144.6
3328.5,1452.175,5758.05,4086.6
2407.5,1440.175,5790.05,4020.6
1960.5,1410.175,5852.05,4027.6
1688.5,1396.175,5663.05,4004.6
1553.5,1401.175,5838.05,3921.6
1413.5,1400.175,5654.05,4016.6
1358.5,1412.175,5688.05,3873.6
1317.5,1447.175,5747.05,3947.6
1215.5,1436.175,5666.05,3991.6
1303.5,1491.175,5838.05,3916.6
1235.5,1418.175,5858.05,3859.6
1178.5,1392.175,5841.05,3896.6
1217.5,1476.175,5736.05,3825.6
1134.5,1402.175,5754.05,3775.6
1190.5,1488.175,5802.05,3845.6
1170.5,1559.175,5794.05,3781.6
1194.5,1488.175,5827.05,3775.6
1153.5,1420.175,5879.05,3874.6
1116.5,1403.175,5816.05,3735.6
1120.5,1502.175,5812.05,3776.6
1072.5,1532.175,5902.05,3622.6
1188.5,1478.175,5808.05,3767.6
1175.5,1452.175,5716.05,3780.6
1057.5,1416.175,5883.05,3695.6
1077.5,1463.175,5899.05,3701.6
1101.5,1492.175,5792.05,3764.6
1151.5,1537.175,5889.05,3699.6
1036.5,1522.175,5751.05,3837.6
1059.5,1472.175,5850.05,3595.6
1129.5,1506.175,5920.05,3748.6
1043.5,1516.175,5925.05,3601.6
1044.5,1527.175,6055.05,3715.6
1087.5,1553.175,5992.05,3658.6
1024.5,1560.175,6034.05,3665.6
