UV1,UV2,VIS,NIR
1730.225,1185.75,4778.7,3470.25
2247.225,1179.75,4670.7,3503.25
3174.225,1149.75,4716.7,3499.25
4492.225,1161.75,4638.7,3478.25
4764.225,1130.75,4723.7,3416.25
3659.225,1213.75,4753.7,3349.25
2532.225,1212.75,4775.7,3291.25
2039.225,1187.75,4756.7,3283.25
1762.225,1139.75,4737.7,3233.25
1564.225,1184.75,4730.7,3172.25
1344.225,1083.75,4733.7,3076.25
1310.225,1149.75,4892.7,3199.25
1310.225,1152.75,4846.7,3169.25
1213.225,1210.75,4853.7,3176.25
1206.225,1171.75,4877.7,3130.25
1120.225,1178.75,4731.7,3196.25
1155.225,1209.75,4910.7,3061.25
1081.225,1179.75,4795.7,3128.25
1093.225,1220.75,4909.7,3038.25
1051.225,1160.75,4855.7,3111.25
1124.225,1220.75,4896.7,3074.25
1026.225,1191.75,4809.7,3000.25
997.225,1252.75,4898.7,3058.25
979.225,1163.75,4881.7,3009.25
978.225,1211.75,4878.7,3081.25
978.225,1225.75,4804.7,2987.25
947.225,1216.75,4977.7,2864.25
965.225,1161.75,4893.7,2957.25
976.225,1156.75,4861.7,2962.25
939.225,1144.75,4871.7,2852.25
969.225,1187.75,4900.7,2787.25
944.225,1229.75,5109.7,2908.25
923.225,1265.75,4917.7,2920.25
948.225,1251.75,5005.7,2965.25
1002.225,1193.75,4984.7,2910.25
897.225,1244.75,5028.7,2835.25
920.225,1175.75,5025.7,2858.25
958.225,1239.75,5085.7,2858.25
910.225,1226.75,5155.7,2914.25
971.225,1237.75,5410.7,2797.25
965.225,1307.75,5246.7,2821.25
960.225,1248.75,5237.7,2921.25
869.225,1342.75,5223.7,2877.25
